"Co","Whse","ItemCode","ItemDescription","DisplayDescription","CommodityCode","CommodityClass","ItemCode","OHQty","AllocQty","AvailQty","WAC","ExtWAC","Loc1","Loc2","Loc3","Manufacturer","MfrPartNumber"
"  001","01SHN","9145E-VE03","PIC 10/100BASE-TX 2 PT NID","","NETWORK","PIC","|9145E-VE03",38.0000,.0000,38.0000,1574.000000,59812.00,"1","","","CANOGA PERKINS","9145E-VE03"
"  001","01SHN","9145E-VE04","PIC NID SMART VE04 USR RJ45 NT","KIT 10/100 BASE-TX NID STD","NETWORK","PIC","|9145E-VE04",4.0000,.0000,4.0000,1618.000000,6472.00,"1","","","CANOGA PERKINS","9145E-VE04"
"  001","01SHN","9145E-VE18-RF","PIC NID SMART VE18 GIGE LX W/A","","NETWORK","PIC","|9145E-VE18-RF",1.0000,.0000,1.0000,1500.000000,1500.00,"1","","","CANOGA PERKINS","9145E-VE18"
"  001","01SHN","9145E-VE42-RF","NID SMART VE42 10/100BASE-TX U","","NETWORK","PIC","|9145E-VE42-RF",3.0000,.0000,3.0000,295.000000,885.00,"1","","","CANOGA PERKINS","9145E-VE42"
"  001","01SHN","9145112","CARD 4WETO CHANNEL UNIT","","NETWORK","PIC","|9145112",2.0000,.0000,2.0000,1.000000,2.00,"1","","","LINK AMERICA","9145112"
"  001","01SHN","91459-12-RF","CARD 2WFXS CHANNEL UNIT","","NETWORK","PIC","|91459-12-RF",1.0000,.0000,1.0000,1.000000,1.00,"1","","","LINK AMERICA","91459-12"
"  001","01SHN","9146601","CARD CHANNEL UNIT AR-OCU DP","","NETWORK","PIC","|9146601",1.0000,.0000,1.0000,1.000000,1.00,"1","","","LINK AMERICA","9146601"
"  001","01SHN","9824AE","PIC 5ESS TEL-JK CARD","","NETWORK","PIC","|9824AE",1.0000,.0000,1.0000,1.000000,1.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","9824AE"
"  001","01SHN","990120A","CARD GDSL CO LINE V90 PLUS","","NETWORK","PIC","|990120A",1.0000,.0000,1.0000,1.000000,1.00,"1","","","COMMUNICATION TEST DESIGN","990120-A"
"  001","01SHN","990210-RF","CARD GDSL HICAP STREAKER","","NETWORK","PIC","|990210-RF",2.0000,.0000,2.0000,1.000000,2.00,"1","","","GO DIGITAL","990210"
"  001","01SHN","9964-7012-RF","POWER SUPPLY UNIT S24DU","","NETWORK","PIC","|9964-7012-RF",1.0000,.0000,1.0000,1.000000,1.00,"1","","","SEISCOR","9964-7012"
"  001","01SHN","99661869","MODULE CH CCU-1A SPS 2P ANI","","NETWORK","PIC","|99661869",6.0000,.0000,6.0000,1.000000,6.00,"1","","","PULSECOM","9966-1869"
"  001","01SHN","9967-5138","CARD CCU-4 DUAL POTS","","NETWORK","PIC","|9967-5138",3.0000,.0000,3.0000,22.000000,66.00,"1","","","SEISCOR","9967-5138"
"  001","01SHN","ACX582SER3","PIC DC TP OP POWER SUPPLY","","NETWORK","PIC","|ACX582SER3",2.0000,.0000,2.0000,100.000000,200.00,"1","","","BIKOR INC","ACX582-SER-3"
"  001","01SHN","AEK31","PIC PACK CKT","","NETWORK","PIC","|AEK31",1.0000,.0000,1.0000,550.000000,550.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","AEK31"
"  001","01SHN","AEK90-RF","CARD DS-1 REPEATER","","NETWORK","PIC","|AEK90-RF",1.0000,.0000,1.0000,1.000000,1.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","AEK90"
"  001","01SHN","AHG34S2","PIC D4 CHAN BK RCVR UN","","NETWORK","PIC","|AHG34S2",1.0000,.0000,1.0000,30.000000,30.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","AHG34"
"  001","01SHN","AKM46B-RF","CARD DS1 INTERFACE","","NETWORK","PIC","|AKM46B-RF",2.0000,.0000,2.0000,150.000000,300.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","AKM46B"
"  001","01SHN","ASCM0176C02","CARD GFR222Q QPSK MODULATION M","","NETWORK","PIC","|ASCM0176C02",9.0000,.0000,9.0000,3165.380000,28488.42,"1","","","BIGBAND NETWORKS INC","ASCM0176C02"
"  001","01SHN","ASCM0189A03-RF","CARD GFR222B QAM MODULATION","","NETWORK","PIC","|ASCM0189A03-RF",3.0000,.0000,3.0000,1580.000000,4740.00,"1","","","BIGBAND NETWORKS INC","ASCM0189A03"
"  001","01SHN","AUA1S2","PIC SLC5 TRMT/RCV UN","","NETWORK","PIC","|AUA1S2",3.0000,.0000,3.0000,30.000000,90.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","AUA1"
"  001","01SHN","AUA114","CARD CHANNEL FUSE UNIT COT/RT","","NETWORK","PIC","|AUA114",2.0000,.0000,2.0000,80.000000,160.00,"1","","","ALCATEL-LUCENT NORTH AMERICA","AUA114"
"  001","01SHN","AUA158I3REVC","CARD SLC 5 POTS CU RT","","NETWORK","PIC","|AUA158I3REVC",1.0000,.0000,1.0000,1.000000,1.00,"1","","","PULSECOM","AUA158I/3"
"  001","01SHN","AUA21B-RF","CARD PACK CKT S1-S2","","NETWORK","PIC","|AUA21B-RF",2.0000,.0000,2.0000,206.270000,412.54,"1","","","ALCATEL-LUCENT NORTH AMERICA","AUA21B"
